species,aperture_of_the_perianth,flower_height,height_of_the_pericarpel,width_of_the_pericarpel,height_of_the_perianth,number_of_ovules,number_of_stamens,style_length,stigma_length,number_of_ovules,length_of_the_nectar_chamber,equatorial_diameter_of_the_ovary,polar_diameter_of_the_ovary,stamen_length,distance_between_the_anthers_and_the_stigma
O. cantabrigiensis,49.22,NA,18.51,20.4,32.36,NA,268,NA,NA,76,2.31,4.02,3.96,14.66,3.65
O. cantabrigiensis,66.78,NA,12.98,18.16,24.24,NA,NA,NA,NA,345,1.84,3.39,3.3,10.06,2.9
O. cantabrigiensis,64.08,NA,22.58,21.04,26.72,NA,NA,NA,NA,222,1.45,7.08,7.71,19.55,2.62
O. cantabrigiensis,68.41,NA,20.98,22.39,37.87,NA,NA,NA,NA,270,2.69,7.33,6.02,23.31,4.57
O. cantabrigiensis,67.2,47.1,15.9,20.9,31.4,8,374,18.7,5.5,177,2.8,5.3,4.3,12.8,0
O. cantabrigiensis,50.23,48.9,18.5,22.3,36.7,7,378,21.5,4.5,178,0,5.5,4.7,15.5,2.8
O. cantabrigiensis,63.27,51.6,15.6,25.7,46.4,9,408,20.9,4.9,193,2,6.9,5.4,16.7,0
O. cantabrigiensis,58.08,42.7,14.6,18.8,28.7,5,240,19.5,5,112,0,3.7,3.5,16.6,0
O. cantabrigiensis,54.3,54,18.4,23.7,37.5,8,362,20.7,4.8,197,1.8,6.1,5.3,13.5,2
O. cantabrigiensis,51.5,46.6,26.2,24.9,24.3,6,358,20.8,5.4,267,1.7,3.4,4.6,19.3,0
O. cantabrigiensis,40.2,56.6,24.9,28.1,34.7,8,336,24.7,5.6,184,1.9,4.3,3.6,20.9,0
O. cantabrigiensis,58,56.8,25.9,20,32.9,7,258,20.5,4.2,168,1.8,3.8,4.1,14.6,1.1
O. cantabrigiensis,68,51.8,30.1,19.7,25.9,7,422,22.3,4.7,233,2.2,1.7,5.1,12.4,2.4
O. cantabrigiensis,NA,49.9,23.2,22.5,30.7,10,410,18.4,5.9,242,2.4,5.2,4.8,15.3,0
O. cantabrigiensis,NA,47.5,19.4,21.5,29.7,10,392,24,4.8,235,2.7,5.9,3.2,17.7,5.5
O. cantabrigiensis,NA,39,17.4,20.9,22.5,8,261,16.5,3,162,2.2,4.6,3.5,13.2,1.8
O. cantabrigiensis,51.5,46.6,26.2,24.9,24.3,6,358,20.8,5.4,267,1.7,3.4,4.6,19.3,0
O. cantabrigiensis,40.2,56.6,24.9,28.1,34.7,8,336,24.7,5.6,184,1.9,4.3,3.6,20.9,0
O. cantabrigiensis,58,56.8,25.9,20,32.9,7,258,20.5,4.2,168,1.8,3.8,4.1,14.6,1.1
O. cantabrigiensis,68,51.8,30.1,19.7,25.9,7,422,22.3,4.7,233,2.2,1.7,5.1,12.4,2.4
O. streptacantha,27.29,49,31.9,23.2,20.5,9,276,16,4.9,111,2,6.3,5.8,10.5,0
O. streptacantha,24.39,52.6,27.6,20.9,23,7,258,16,5,81,2,5,3.3,10.7,0
O. streptacantha,NA,49.8,26,23.7,25.1,7,260,16,5.7,131,2.6,6.7,7,9.9,1.9
O. streptacantha,27.02,56.2,29.6,17.3,29.4,7,288,21.5,7.1,42,2.8,4.2,6.4,15.3,0
O. streptacantha,30.12,50,28.2,23.9,25,7,306,16.1,5.4,124,2.9,7.9,7.3,10.3,2.8
O. streptacantha,39,54,33,21,22,8,258,18.7,4.8,54,3.3,3.9,6.9,10.5,0
O. streptacantha,24.44,68.9,44.4,26.7,28,9,360,19.4,6.2,272,3.6,8.3,16,11.9,0
O. streptacantha,48.14,61.5,37.9,22.3,26.4,11,322,18.9,5,237,2.8,4.8,5.3,12.5,1.4
O. streptacantha,25.75,68.2,41.6,28,26,9,490,20.2,6.3,254,2.8,7,11.7,12,1.8
O. streptacantha,NA,51.4,29,22.5,23.9,8,388,13.3,5.2,140,3.5,6.3,8,10.4,0
O. streptacantha,27.6,60,34.9,24.9,26.3,9,372,17.5,5.5,128,4.2,7.9,7.2,12.3,0
O. streptacantha,NA,51.4,29,22.5,23.9,8,388,13.3,5.2,140,3.5,6.3,8,10.4,0
O. streptacantha,10.5,48.3,29.3,24.1,19,7,540,14.21,4.3,117,NA,6.38,5.2,11.2,8.98
O. streptacantha,29.15,57,33.1,23.3,25.15,8,400,18.2,4.2,148,NA,6.15,16,12.4,5.9
O. streptacantha,26.2,61.1,34,23.14,28.2,8,596,19,6.2,102,NA,6.2,7.14,12.1,4.15
O. streptacantha,19.45,49.1,28.1,23.1,21,8,540,18.2,4.1,97,NA,4.26,5.46,12.4,8
O. streptacantha,30,64.1,40.1,23.3,25,9,420,19,6.5,80,NA,4.1,8.2,12.6,5
O. streptacantha,32.1,56.1,33,24.75,23.1,8,560,17.2,4.17,130,NA,6.25,9.1,13.1,6.9
O. streptacantha,31.2,45.2,20.05,23.8,25.1,8,580,17,6.2,125,NA,5.1,8.4,12.2,6
O. streptacantha,26.1,56.8,32.4,23.3,24.5,7,540,18.7,5.24,98,NA,6.1,7.2,11.14,7
O. robusta M,22.33,40.84,22,16.92,21.26,2,154,15.09,3.56,0,2.36,0,0,13.34,0
O. robusta M,46.96,20.49,26.67,28.66,19.63,0,446,19.66,4.9,0,1.29,1.97,1.8,13.14,0
O. robusta M,36.49,50.68,25.1,25.1,26.14,5,402,22.76,5.53,0,1.23,1.7,2.47,15.23,6.52
O. robusta M,NA,30.84,12.45,17.03,19.49,0,94,16.76,NA,0,0,2.09,3.16,7.78,0
O. robusta M,42.24,50.64,22.51,33.13,30.77,2,324,24.53,2.56,0,0,3.38,3.86,13.98,4.19
O. robusta M,NA,41.22,22.59,20.47,27.71,3,86,15.33,1.97,0,0,0,0,7.43,3.49
O. robusta M,47,60.92,38.75,24.63,23.96,2,226,20.47,3.85,0,0,0,0,13.06,2.39
O. robusta M,46.35,49.92,21.71,22.88,28.82,2,316,21.03,4.56,0,0,2.7,4.58,12.85,1.63
O. robusta M,28.91,48.98,24.84,23.16,24.54,5,326,15.01,2.04,NA,NA,NA,NA,NA,NA
O. robusta M,NA,40.93,24.47,18.97,22.8,2,182,14.52,2.44,0,0,0,0,7.92,1.98
O. robusta M,NA,27.79,14.52,15.95,14.12,0,106,11.7,3.73,0,0,0,0,7.01,0
O. robusta M,23.3,43.44,17.26,23.4,27.93,2,498,15.68,1.81,0,0,0,0,9.54,0
O. robusta M,28.87,43.17,19.64,24.14,26.02,7,268,19.32,3.72,0,0,0,0,14.41,2.94
O. robusta M,NA,45.61,25.44,22.99,24.03,0,334,20.75,2.81,0,0,0,0,19.31,4.03
O. robusta M,36.21,56.51,NA,30.41,NA,0,422,22.47,2.67,0,NA,2.16,2.64,15.31,1.45
O. robusta M,45.6,54.97,NA,27.28,NA,2,570,19.78,2.48,2,NA,0,0,13.67,1.19
O. robusta M,35.67,59.23,NA,20.67,NA,2,499,10.28,3.12,2,NA,3.1,3.87,12.91,1.87
O. robusta M,19.45,30.52,NA,18.87,NA,0,472,15.34,2.91,0,NA,0,0,8.57,0
O. robusta M,28.78,41.85,NA,21.91,NA,0,525,14.2,3.81,0,NA,0,0,15.35,1.06
O. robusta M,44.92,52.05,NA,24.09,NA,4,385,22,2.69,4,NA,0,0,10.54,0
O. robusta F,33.72,66.76,36.35,22,31.3,9,106,12.13,9.38,267,1.91,8.09,19.15,13.07,0
O. robusta F,44.19,45.1,26.1,22.94,22.15,9,268,13.97,5.91,253,1.5,8.6,11.48,12.83,0
O. robusta F,44.93,56.71,29.91,24.45,27.49,9,304,11.24,5.98,183,3.48,6.16,13.61,10.08,0
O. robusta F,38.32,64.49,33.49,25.55,31.21,14,312,18.51,8.81,415,3.46,8.11,15.37,9.64,0.81
O. robusta F,29.19,49.96,26.96,26.68,21.75,11,136,12.24,6.33,307,0,9.47,10.44,7.47,2.04
O. robusta F,38.12,57.54,36.98,25.54,24.16,8,212,15.13,7.78,216,2.82,7.8,14.73,12.48,0
O. robusta F,NA,56.93,33.39,24.2,25.07,10,222,15.46,7.95,293,2.97,7.14,13.66,9.53,1.42
O. robusta F,44.14,92.63,NA,32.9,NA,758,307,20.38,6.98,758,NA,9.28,17.69,11.32,2.9
O. robusta F,38.04,79.77,NA,28.88,NA,957,432,16.78,8.08,957,NA,10.84,17.85,10.8,0.97
O. robusta F,37.57,78.38,NA,33.25,NA,922,315,16.98,6.44,922,NA,10.88,14.38,18.73,0
O. robusta F,41.53,82.08,NA,31.83,NA,783,343,17.41,8.36,783,NA,9.29,22.91,11.74,0
O. robusta F,34.66,85.67,NA,32.77,NA,919,358,17.42,8.33,919,NA,10.39,14.78,12.25,1.68
O. robusta F,26.54,85.2,NA,49.19,NA,921,263,17.34,8.51,921,NA,10.92,17.61,12.75,1.72
O. robusta F,43.6,57.79,NA,25.92,NA,788,265,14.95,6.79,788,NA,7.56,12.78,9.11,1.47
O. robusta F,34.96,55.85,NA,33.31,NA,754,158,17.08,8.5,754,NA,8.11,11.96,10.1,1.23
O. robusta F,45.87,60.63,NA,26.01,NA,928,283,16.91,8.39,928,NA,9.08,10.7,10.21,0
O. robusta F,28.57,62.09,NA,25.46,NA,522,304,16.54,7.21,522,NA,9.44,13.54,9.56,3.14
O. robusta F,29.24,59.66,NA,29.24,NA,377,382,17.24,5.89,377,NA,9.5,17.32,10.18,0.51
O. robusta F,43.03,53.78,NA,25.89,NA,943,426,14.37,6.52,943,NA,8.54,17.55,9.35,2.01
O. robusta F,35,59.62,NA,25.08,NA,792,324,15.21,7.86,792,NA,9.03,14.49,8.79,2.18
O. tomentosa,21.54,47.5,28.14,19.46,19.36,7,448,20.64,4.65,106,2.47,4.84,5.71,17.12,2.61
O. tomentosa,18.26,43,24.65,22.42,18.35,7,392,20.68,5.04,112,2.99,5.2,7.17,16.03,1.03
O. tomentosa,23.74,43.96,25.92,19.69,18.04,7,508,21.11,5.33,90,2.16,5.34,8.27,15.96,1.68
O. tomentosa,18.84,34.01,16.96,14.99,17.05,5,364,19.71,4.31,36,1.89,3.44,4.19,13.29,1.29
O. tomentosa,23.14,49.74,27.44,19.77,22.3,7,364,22.01,4.95,66,2.21,4.84,7,15.21,1.73
O. tomentosa,23.02,42.58,23.99,21.29,18.59,6,424,20.97,4.91,70,2,4.75,6.72,15.97,1.34
O. tomentosa,16.69,34.51,18.69,15.26,15.82,6,396,18.71,4.92,50,1.89,2.95,4.47,12.58,1.18
O. tomentosa,30.25,47.03,27.11,20.04,19.92,7,500,20.38,5.17,90,2.38,4.39,6.93,13.67,1.96
